username,replied_to_username,location,verified,created_at,text
Adollars5,Beluba, ,False,2018-12-10 02:54:01+00:00,@Beluba Stop with the bs Psychic defense hall of fame difficulty that does not make it realistic there is no way Jusuf Nurkic is catching Russell Westbrook on a fast break yet on HoF this is common
marktep25,Dom_2k, ,False,2018-12-10 02:30:36+00:00,"@Dom_2k Stephen Curry, Russell Westbrook, Damian Lillard, Kyrie Irving, Kyle Lowery. Honorable Mentions: Kemba Walker and Jrue Holiday."
RChiwota, , ,False,2018-12-10 02:29:02+00:00,"In a series with Russell Westbrook, Paul George and Carmelo Anthony, Donovan Mitchell became the most important player on the court. 
It was a sad loss."
RChiwota, , ,False,2018-12-10 02:28:59+00:00,"seemed to have no interest in keeping up with him. Rubio won game 3, schooled Russell Westbrook and boy did the media love that."
ItsBlaze21,NightZerez, ,False,2018-12-10 01:50:14+00:00,@NightZerez @Dom_2k How you gon put him in yo top five and call him westbrick 😂😂
Johnte_Uchiha,Dom_2k, ,False,2018-12-10 01:49:59+00:00,"@Dom_2k 1. Stephen Curry
2. Kyrie Irving
3. Chris Paul
4. Russell Westbrook
5. Kemba Walker"
JJRahKay,JohnDaDon_, ,False,2018-12-10 00:56:59+00:00,"@JohnDaDon_ ""It's whatever, I don't need an explanation. My dream girl broke up with me, the Steelers lost and Russell Westbrook probably gonna tear an ACL. It's just one of those days."""
SebSucces,TheKOT4Q, ,False,2018-12-10 00:36:29+00:00,@TheKOT4Q Hey Kenny I love your videos a lot I have a challenge for you tho can you do a rebuild with the thunder without Russell Westbrook and Paul George I bet u can’t do it under 25minutes
brybry213,LegendOfWinning, ,False,2018-12-10 00:20:28+00:00,@LegendOfWinning Russell Westbrook is 😂
BballCave, , ,False,2018-12-10 00:19:06+00:00,"Top 5 players in the NBA:

1. LeBron James 2. Kawhi Leonard 3. Anthony Davis 4. Kevin Durant 5.Russell Westbrook

KD and AD are interchangeable, but AD defensive prowess is what makes him outweigh KD, because he is an elite scorer too. Giannis just missed the cut but he’s coming."
